*ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,*InvoiceDate,*DueDate,InventoryItemCode,Description,*Quantity,*UnitAmount,*AccountCode,*TaxType,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency
Alex White,AlexWhite@example.com,533 Cypress Road,,,,Glen Huntly,VIC,3163,,ALW20231216,16/12/2023,18/12/2023,,Alex White,1,770.4,220,GST on Income,,,,,
Dr Jamie Wilson,DrJamieWilson@example.com,860 Birch Road,,,,Fairfield,VIC,3078,,CA20231216,16/12/2023,18/12/2023,,Casey Anderson,1,203.22,220,GST on Income,,,,,
Dr Alex Smith,DrAlexSmith@example.com,301 Oak Street,,,,Wantirna,VIC,3152,,AS20231216,16/12/2023,18/12/2023,,Dr Alex Smith,1,3238.65,220,GST on Income,,,,,
Dr Avery Thompson,DrAveryThompson@example.com,1051 Poplar Place,,,,Hawthorn East,VIC,3123,,AT20231216,16/12/2023,18/12/2023,,Dr Avery Thompson,1,723.29,220,GST on Income,,,,,
Dr Avery Wang,DrAveryWang@example.com,415 Cherry Circle,,,,Wantirna,VIC,3152,,AW20231216,16/12/2023,18/12/2023,,Dr Avery Wang,1,2435.68,220,GST on Income,,,,,
Dr Jamie Wilson,DrJamieWilson@example.com,860 Birch Road,,,,Fairfield,VIC,3078,,CL20231216,16/12/2023,18/12/2023,,Dr Cameron Lee,1,955.46,220,GST on Income,,,,,
Dr Cameron Li,DrCameronLi@example.com,332 Beech Court,,,,Mount Waverley,VIC,3149,,CAL20231216,16/12/2023,18/12/2023,,Dr Cameron Li,1,2596.16,220,GST on Income,,,,,
Dr Casey Kim,DrCaseyKim@example.com,495 Elm Court,,,,Doncaster East,VIC,3109,,CK20231216,16/12/2023,18/12/2023,,Dr Casey Kim,1,975.54,220,GST on Income,,,,,
Dr Jamie Garcia,DrJamieGarcia@example.com,1025 Maple Avenue,,,,Carlton North,VIC,3054,,JG20231216,16/12/2023,18/12/2023,,Dr Jamie Garcia,1,762.6,220,GST on Income,,,,,
Dr Jamie Wilson,DrJamieWilson@example.com,860 Birch Road,,,,Fairfield,VIC,3078,,JW20231216,16/12/2023,18/12/2023,,Dr Jamie Wilson,1,6076.05,220,GST on Income,,,,,
Dr Jordan Martinez,DrJordanMartinez@example.com,748 Cedar Lane,,,,Croydon North,VIC,3136,,JM20231216,16/12/2023,18/12/2023,,Dr Jordan Martinez,1,1897.57,220,GST on Income,,,,,
Dr Jordan Patel,DrJordanPatel@example.com,928 Redwood Path,,,,Vermont,VIC,3133,,JP20231216,16/12/2023,18/12/2023,,Dr Jordan Patel,1,1649.75,220,GST on Income,,,,,
Dr Morgan Bailey,DrMorganBailey@example.com,1164 Hemlock Drive,,,,Ringwood East,VIC,3135,,MOB20231216,16/12/2023,18/12/2023,,Dr Morgan Bailey,1,2313.69,220,GST on Income,,,,,
Dr Morgan Brooks,DrMorganBrooks@example.com,244 Aspen Grove,,,,Donvale,VIC,3111,,MB20231216,16/12/2023,18/12/2023,,Dr Morgan Brooks,1,1876.63,220,GST on Income,,,,,
Dr Riley Davis,DrRileyDavis@example.com,667 Spruce Boulevard,,,,Donvale,VIC,3111,,RD20231216,16/12/2023,18/12/2023,,Dr Riley Davis,1,349.28,220,GST on Income,,,,,
Dr Riley Zhang,DrRileyZhang@example.com,490 Juniper Lane,,,,Box Hill,VIC,3128,,RZ20231216,16/12/2023,18/12/2023,,Dr Riley Zhang,1,1760.86,220,GST on Income,,,,,
Dr Taylor Johnson,DrTaylorJohnson@example.com,229 Pine Drive,,,,Croydon,VIC,3136,,TJ20231216,16/12/2023,18/12/2023,,Dr Taylor Johnson,1,1741.52,220,GST on Income,,,,,
Dr Taylor Murphy,DrTaylorMurphy@example.com,367 Hawthorn Hill,,,,Balwyn,VIC,3103,,TM20231216,16/12/2023,18/12/2023,,Dr Taylor Murphy,1,1586.91,220,GST on Income,,,,,
Violet Bennett,VioletBennett@example.com,813 Sycamore Trail,,,,Scoresby,VIC,3179,,JB20231216,16/12/2023,18/12/2023,,Jordan Brown,1,295.98,220,GST on Income,,,,,
Morgan Lewis,MorganLewis@example.com,1286 Alder Street,,,,Burwood,VIC,3125,,ML20231216,16/12/2023,18/12/2023,,Morgan Lewis,1,97.5,220,GST on Income,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
